total_deaths,total_recovered,active_cases,serious_or_critical,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population
7690.0,162202.0,9375.0,1124.0,190.0,951337.0,23455.0
3497.0,271826.0,251.0,2.0,1218.0,1817530.0,632857.0
6875.0,178371.0,80570.0,6.0,152.0,230861.0,5093.0
153.0,41021.0,982.0,14.0,1974.0,249838.0,3223924.0
1900.0,97149.0,145.0,0.0,55.0,1499795.0,43136.0
9.0,2916.0,59.0,4.0,590.0,51382.0,3368870.0
137.0,7511.0,73.0,1.0,1378.0,18901.0,190076.0
128729.0,8895999.0,76591.0,372.0,2800.0,35716069.0,776974.0
8623.0,412048.0,2225.0,0.0,2900.0,3068217.0,1031834.0
213.0,35199.0,281.0,0.0,1979.0,177885.0,1653053.0
7794.0,6199822.0,386179.0,129.0,299.0,70885598.0,2721042.0
18303.0,4135885.0,58304.0,58.0,2011.0,185034905.0,20328801.0
9709.0,782869.0,60.0,0.0,942.0,6838458.0,663324.0
801.0,32488.0,582.0,0.0,2001.0,233473.0,583330.0
1479.0,569758.0,5760.0,4.0,816.0,9775981.0,5396149.0
29127.0,1899419.0,24466.0,1273.0,174.0,14051455.0,83767.0
433.0,71497.0,4331.0,0.0,1503.0,669421.0,2324136.0
6978.0,0.0,0.0,0.0,739.0,13220483.0,1399951.0
31613.0,3941350.0,143434.0,117.0,2706.0,33846023.0,2896893.0
676.0,56761.0,459.0,6.0,1644.0,549217.0,1336070.0
163.0,25506.0,1283.0,5.0,13.0,604310.0,47530.0
135.0,13664.0,336.0,0.0,2183.0,893980.0,14454002.0
21.0,59491.0,58.0,0.0,27.0,2303690.0,2925573.0
21943.0,863665.0,20538.0,220.0,1833.0,2705422.0,226025.0
15778.0,0.0,0.0,0.0,4866.0,1767199.0,544957.0
2690.0,303026.0,608.0,1.0,1102.0,2026898.0,830683.0
664920.0,29718402.0,298772.0,8318.0,3087.0,63776166.0,296119.0
62.0,0.0,0.0,1.0,2026.0,103637.0,3386166.0
220.0,142788.0,1651.0,0.0,494.0,717784.0,1611980.0
37045.0,1014302.0,110157.0,54.0,5407.0,9924259.0,1448573.0
382.0,20439.0,32.0,0.0,17.0,248995.0,11333.0
38.0,0.0,0.0,0.0,3.0,345742.0,27549.0
401.0,55613.0,91.0,23.0,707.0,400982.0,706908.0
3056.0,133194.0,12.0,0.0,178.0,2961934.0,172709.0
1927.0,117791.0,62.0,13.0,69.0,1751774.0,63068.0
40228.0,3499564.0,281554.0,423.0,1049.0,61436458.0,1601640.0
35.0,9829.0,51.0,0.0,1312.0,30126.0,1129287.0
28.0,8553.0,14997.0,1.0,417.0,222773.0,3317098.0
113.0,6859.0,7677.0,2.0,23.0,81294.0,16304.0
193.0,4874.0,2347.0,0.0,11.0,191341.0,11058.0
173.0,74574.0,528.0,0.0,978.0,1252808.0,7084095.0
57722.0,3468131.0,79669.0,159.0,2972.0,37693651.0,1940790.0
9361.0,0.0,0.0,5.0,1230.0,44972952.0,5909516.0
0.0,82.0,0.0,0.0,0.0,5375.0,8073.0
5209.0,210454.0,6141.0,383.0,4.0,160000000.0,111163.0
139821.0,5928829.0,26666.0,342.0,2694.0,34675581.0,668214.0
160.0,7933.0,7.0,0.0,177.0,0.0,0.0
385.0,20178.0,3516.0,0.0,67.0,347815.0,60270.0
1.0,5291.0,118.0,0.0,57.0,17469.0,992895.0
8444.0,841683.0,16037.0,48.0,1630.0,4401922.0,849668.0
799.0,81168.0,22.0,0.0,29.0,1509861.0,54716.0
15930.0,1111405.0,4115.0,15.0,3925.0,4838151.0,1192212.0
8529.0,1095534.0,526.0,23.0,754.0,12920253.0,1141997.0
275.0,42203.0,539.0,3.0,1663.0,496693.0,3004016.0
1032.0,124370.0,352309.0,60.0,843.0,9477138.0,7744481.0
40245.0,3871654.0,3948.0,14.0,3745.0,55323981.0,5148342.0
1337.0,50930.0,34756.0,0.0,14.0,846704.0,8948.0
6287.0,2960386.0,9994.0,12.0,1078.0,127345763.0,21842472.0
189.0,15427.0,15.0,0.0,186.0,305941.0,301492.0
63.0,12323.0,299.0,0.0,871.0,194894.0,2694921.0
4376.0,575583.0,453.0,1.0,396.0,3305829.0,299156.0
35607.0,0.0,0.0,759.0,1963.0,2470170.0,136158.0
24613.0,442182.0,48850.0,122.0,232.0,3693367.0,34867.0
4129.0,150662.0,7298.0,8.0,631.0,1950448.0,297908.0
183.0,15701.0,26.0,5.0,123.0,317211.0,213068.0
103.0,9632.0,10.0,0.0,28.0,23693.0,6513.0
2556.0,514836.0,56530.0,3.0,1924.0,3345340.0,2518710.0
7510.0,455757.0,7670.0,8.0,62.0,4836364.0,40214.0
28.0,7693.0,26937.0,5.0,569.0,778000.0,15810116.0
0.0,0.0,0.0,0.0,0.0,8632.0,2352685.0
862.0,62875.0,1036.0,0.0,949.0,517703.0,569817.0
4284.0,0.0,0.0,21.0,771.0,10832080.0,1949355.0
147257.0,28156674.0,856871.0,1329.0,2247.0,271490188.0,4142201.0
397.0,11254.0,70133.0,1.0,1268.0,631628.0,2017375.0
649.0,0.0,0.0,7.0,2286.0,0.0,0.0
304.0,47297.0,7.0,0.0,131.0,1594523.0,686256.0
365.0,11591.0,43.0,0.0,144.0,155686.0,61220.0
16811.0,1637293.0,1117.0,0.0,4229.0,16920079.0,4256722.0
137919.0,23956700.0,1685607.0,1279.0,1636.0,122332384.0,1451450.0
1445.0,159788.0,47.0,1.0,45.0,2442206.0,75655.0
102.0,16579.0,1448.0,0.0,3029.0,534283.0,15867278.0
29547.0,3306014.0,57014.0,176.0,2861.0,81233888.0,7865209.0
21.0,2761.0,9189.0,4.0,369.0,164926.0,2895826.0
221.0,14634.0,1489.0,4.0,1947.0,157363.0,1386531.0
854.0,2250.0,137026.0,19.0,2134.0,938039.0,2343627.0
17792.0,831794.0,2291.0,5.0,960.0,4543522.0,245163.0
171.0,8010.0,41.0,6.0,83.0,136655.0,66512.0
442.0,36113.0,42.0,8.0,32.0,660107.0,47848.0
1228.0,62301.0,275.0,0.0,1547.0,610906.0,769770.0
835.0,29605.0,273.0,0.0,72.0,132422.0,11356.0
0.0,29.0,0.0,0.0,0.0,0.0,0.0
10896.0,132358.0,281136.0,105.0,1068.0,1365056.0,133856.0
46343.0,1821435.0,42170.0,29.0,4820.0,11394556.0,1185122.0
120.0,0.0,0.0,0.0,347.0,2264004.0,6555338.0
524214.0,42579693.0,17692.0,698.0,373.0,843836914.0,600479.0
156458.0,5889534.0,4784.0,2771.0,561.0,97245391.0,348662.0
141224.0,7020835.0,65992.0,737.0,1642.0,51771715.0,602031.0
25216.0,2299985.0,1257.0,10.0,602.0,18529376.0,442197.0
7203.0,1499879.0,28369.0,28.0,1429.0,12144747.0,2409429.0
105.0,26794.0,1517.0,0.0,1223.0,150753.0,1755575.0
10749.0,4081150.0,14894.0,150.0,1153.0,41373364.0,4436346.0
165244.0,15894511.0,998118.0,347.0,2741.0,217853667.0,3613054.0
2995.0,84883.0,44102.0,0.0,1003.0,1031235.0,345445.0
30039.0,7951587.0,356585.0,139.0,239.0,50444181.0,401129.0
14048.0,1678941.0,1227.0,124.0,1352.0,16670254.0,1604177.0
13661.0,1291669.0,306.0,24.0,712.0,11575012.0,603023.0
5649.0,318142.0,235.0,0.0,101.0,3630986.0,64866.0
13.0,2602.0,478.0,3.0,106.0,0.0,0.0
2555.0,629114.0,405.0,3.0,582.0,8071763.0,1839430.0
2991.0,196406.0,1596.0,131.0,445.0,1907195.0,283613.0
754.0,0.0,0.0,0.0,101.0,1232128.0,164896.0
5798.0,816253.0,3648.0,6.0,3139.0,7217715.0,3907005.0
10407.0,1084853.0,2696.0,186.0,1538.0,4795578.0,708511.0
697.0,24155.0,8058.0,0.0,321.0,431221.0,198365.0
294.0,5747.0,1410.0,2.0,56.0,139824.0,26487.0
6430.0,490973.0,4501.0,101.0,913.0,2477219.0,351613.0
84.0,17192.0,71.0,1.0,2191.0,102174.0,2665501.0
9127.0,1032609.0,18883.0,11.0,3442.0,9954903.0,3754317.0
1073.0,235939.0,7170.0,0.0,1664.0,4248188.0,6586920.0
9289.0,300761.0,634.0,0.0,4459.0,2034606.0,976666.0
1393.0,59370.0,3473.0,14.0,48.0,430995.0,14854.0
2636.0,82703.0,548.0,67.0,131.0,578807.0,28868.0
35612.0,4409159.0,31102.0,47.0,1075.0,59274648.0,1788706.0
298.0,163687.0,15498.0,25.0,534.0,2213831.0,3965506.0
733.0,30088.0,182.0,0.0,34.0,675008.0,31636.0
713.0,90076.0,2719.0,4.0,1607.0,1904970.0,4293055.0
0.0,14.0,3.0,0.0,0.0,0.0,0.0
926.0,104.0,152223.0,8.0,2471.0,828928.0,2212109.0
982.0,57708.0,150.0,0.0,201.0,816126.0,167336.0
996.0,36183.0,664.0,0.0,781.0,358675.0,281160.0
187.0,2964.0,34212.0,0.0,656.0,176919.0,620616.0
324465.0,5044893.0,376294.0,4798.0,2468.0,15855490.0,120615.0
0.0,1.0,6.0,0.0,0.0,0.0,0.0
11489.0,504142.0,1355.0,49.0,2860.0,3216305.0,800772.0
54.0,11866.0,84.0,4.0,1358.0,54960.0,1382294.0
2179.0,313256.0,154450.0,192.0,645.0,4030048.0,1193522.0
2719.0,232955.0,603.0,6.0,4328.0,2465201.0,3924142.0
2.0,390.0,355.0,0.0,400.0,11238.0,2248499.0
16071.0,1149054.0,670.0,293.0,426.0,11237010.0,297864.0
2201.0,223190.0,102.0,13.0,67.0,1319772.0,40132.0
19434.0,592089.0,1617.0,0.0,353.0,8083326.0,146732.0
4028.0,153662.0,2384.0,0.0,1534.0,1018783.0,387873.0
0.0,5.0,3.0,0.0,0.0,0.0,0.0
11952.0,966904.0,142.0,0.0,397.0,5669140.0,188264.0
22292.0,7989151.0,55673.0,55.0,1296.0,21107399.0,1226784.0
312.0,60339.0,398.0,9.0,1074.0,98964.0,340539.0
923.0,989005.0,53755.0,0.0,185.0,7127584.0,1424918.0
225.0,4225.0,14041.0,0.0,33.0,0.0,0.0
310.0,8579.0,124.0,1.0,12.0,253043.0,9794.0
3143.0,249943.0,2773.0,11.0,15.0,5114703.0,23717.0
0.0,9.0,0.0,0.0,0.0,0.0,0.0
3061.0,0.0,0.0,20.0,557.0,11002430.0,2000372.0
4260.0,384592.0,556.0,2.0,796.0,25000000.0,4674286.0
30376.0,1494141.0,4732.0,109.0,133.0,28350449.0,123867.0
6.0,4166.0,707.0,1.0,329.0,49264.0,2698658.0
8203.0,773421.0,24653.0,16.0,1847.0,6019923.0,1355456.0
651.0,43200.0,25.0,7.0,70.0,249149.0,26898.0
18872.0,624673.0,6173.0,2.0,2587.0,2633737.0,360998.0
213023.0,0.0,0.0,248.0,6297.0,30226868.0,893567.0
60455.0,3624459.0,3008.0,289.0,538.0,29827732.0,265614.0
116207.0,5335112.0,552117.0,981.0,3077.0,36224215.0,959088.0
22583.0,0.0,0.0,61.0,2227.0,41903714.0,4131968.0
677.0,364474.0,1028.0,1.0,241.0,3487616.0,1242115.0
762.0,395430.0,9788.0,10.0,840.0,1603660.0,1767679.0
65612.0,0.0,0.0,138.0,3453.0,22954921.0,1208233.0
377670.0,17647179.0,235444.0,2300.0,2586.0,273400000.0,1871949.0
1459.0,45522.0,82926.0,0.0,108.0,5343203.0,394334.0
6.0,0.0,0.0,0.0,604.0,78646.0,7917648.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0
43.0,5547.0,15.0,0.0,798.0,70707.0,1311818.0
368.0,23277.0,622.0,1.0,1987.0,143281.0,773697.0
63.0,1399.0,9140.0,7.0,1579.0,112382.0,2817015.0
1.0,2449.0,289.0,1.0,174.0,23687.0,4125936.0
106.0,6641.0,52.0,0.0,950.0,99138.0,888365.0
24.0,1605.0,9684.0,4.0,119.0,85921.0,427746.0
115.0,16454.0,283.0,4.0,3376.0,152231.0,4468970.0
73.0,5891.0,6.0,0.0,322.0,29036.0,128060.0
9116.0,743921.0,6189.0,61.0,254.0,42144668.0,1176452.0
1966.0,84059.0,14.0,0.0,112.0,1081824.0,61589.0
16049.0,1988209.0,8578.0,12.0,1851.0,9596815.0,1106664.0
167.0,42553.0,515.0,0.0,1679.0,0.0,0.0
125.0,0.0,0.0,0.0,15.0,259958.0,31400.0
1362.0,1162140.0,76731.0,8.0,229.0,23767171.0,4003881.0
86.0,9985.0,52.0,10.0,1964.0,62056.0,1417354.0
20041.0,1761664.0,5388.0,30.0,3667.0,7127129.0,1304244.0
6622.0,1003559.0,9287.0,9.0,3184.0,2656926.0,1277694.0
146.0,16357.0,1671.0,2.0,203.0,5117.0,7124.0
1350.0,13182.0,11986.0,0.0,81.0,400466.0,23953.0
100753.0,3708347.0,78349.0,192.0,1660.0,24841314.0,409239.0
23709.0,0.0,0.0,338.0,462.0,15804065.0,307763.0
138.0,13514.0,3873.0,1.0,12.0,389677.0,34068.0
105444.0,11548089.0,473589.0,339.0,2254.0,471036328.0,10067352.0
16511.0,646921.0,239.0,0.0,765.0,6486117.0,300555.0
5353.0,576684.0,82.0,17.0,1006.0,3078533.0,578432.0
4936.0,0.0,0.0,0.0,108.0,562941.0,12303.0
1337.0,49455.0,29216.0,0.0,2242.0,236268.0,396143.0
1402.0,69549.0,747.0,11.0,1186.0,1021394.0,863732.0
18864.0,2477725.0,8305.0,9.0,1846.0,18553837.0,1816057.0
13882.0,3551493.0,66506.0,78.0,1582.0,20927607.0,2385592.0
3150.0,52479.0,240.0,0.0,172.0,146269.0,7996.0
1068.0,60634.0,706841.0,0.0,45.0,16207475.0,678221.0
124.0,17264.0,0.0,0.0,12.0,0.0,0.0
840.0,0.0,0.0,7.0,13.0,0.0,0.0
29475.0,4273599.0,70772.0,1496.0,420.0,17270775.0,246281.0
131.0,22746.0,12.0,0.0,96.0,264799.0,193963.0
273.0,36727.0,23.0,0.0,32.0,735638.0,85144.0
11.0,10110.0,928.0,0.0,102.0,518262.0,4802012.0
3871.0,141354.0,9418.0,18.0,2749.0,726218.0,515806.0
28575.0,0.0,0.0,29.0,2372.0,4592916.0,381189.0
98890.0,14951238.0,3040.0,975.0,1149.0,160622710.0,1867071.0
36.0,5963.0,47.0,4.0,907.0,505354.0,12731886.0
3596.0,100205.0,60268.0,2.0,74.0,2612795.0,53950.0
176708.0,21677896.0,305201.0,253.0,2578.0,519264096.0,7574950.0
108449.0,0.0,0.0,177.0,2508.0,19521252.0,451415.0
2302.0,886128.0,14054.0,0.0,228.0,159103283.0,15732628.0
7213.0,892434.0,2893.0,18.0,2063.0,6114822.0,1749015.0
1026646.0,81244260.0,1938567.0,1941.0,3068.0,1016882505.0,3038939.0
1637.0,236974.0,191.0,23.0,48.0,1377915.0,40088.0
14.0,7974.0,469.0,0.0,44.0,24976.0,77926.0
5711.0,516170.0,1040.0,230.0,202.0,3359014.0,118752.0
43065.0,9355040.0,1298525.0,340.0,435.0,85811485.0,867048.0
7.0,438.0,9.0,0.0,644.0,20508.0,1886140.0
1.0,9.0,0.0,0.0,2.0,0.0,0.0
2149.0,9009.0,661.0,23.0,69.0,265253.0,8543.0
3983.0,315997.0,611.0,0.0,206.0,3452554.0,178497.0
5482.0,242417.0,1307.0,12.0,359.0,2287793.0,149863.0
